size,prepare,vect-in,vect-out,list-in,list-out
10,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
500,0,0,0,0,0,0,1
500,0,0,0,0,0,0,1
500,0,0,0,0,0,0,1
2000,0,7,3,8,7,0,19
2000,0,6,4,9,7,0,21
2000,0,6,5,8,7,0,18
10000,4,156,69,254,182,3,463
10000,3,149,39,248,82,3,207
10000,3,153,85,258,223,4,649
50000,24,3862,2759,9596,13689,23,27314
50000,20,3869,2291,10966,11415,21,20716
50000,18,3686,1112,10377,4687,22,8818
100000,38,15382,9340,52578,61318,48,103383
100000,47,15432,11031,53438,75217,54,132310
100000,44,15325,8795,52560,55734,57,100753
200000,85,63979,44592,310132,551052,128,738203
200000,86,63664,38087,319627,398196,122,603607
200000,87,64462,9835,333958,40567,130,71070
